TABLE_CAT,TABLE_SCHEM,TABLE_NAME,TABLE_TYPE
C0000052267P_1_KOR00000000,dbo,BTTaxCodes,TABLE
C0000052267P_1_KOR00000000,dbo,BankRecAssoc,TABLE
C0000052267P_1_KOR00000000,dbo,BankRecImport,TABLE
C0000052267P_1_KOR00000000,dbo,BankRecTransaction,TABLE
C0000052267P_1_KOR00000000,dbo,BatchBilling,TABLE
C0000052267P_1_KOR00000000,dbo,BatchFailedWBS,TABLE
C0000052267P_1_KOR00000000,dbo,BillingTemplate,TABLE
C0000052267P_1_KOR00000000,dbo,BillingTemplateImages,TABLE
C0000052267P_1_KOR00000000,dbo,BillingTemplatePRInfo,TABLE
C0000052267P_1_KOR00000000,dbo,BillingTemplatePhaseInfo,TABLE
C0000052267P_1_KOR00000000,dbo,BillingTemplatePreInvoiceInfo,TABLE
C0000052267P_1_KOR00000000,dbo,BillingXferAudit,TABLE
C0000052267P_1_KOR00000000,dbo,BudgetMilestoneAssoc,TABLE
C0000052267P_1_KOR00000000,dbo,BudgetMilestoneSeq,TABLE
C0000052267P_1_KOR00000000,dbo,Bug_2338328_Log,TABLE
C0000052267P_1_KOR00000000,dbo,BulkUpdate,TABLE
C0000052267P_1_KOR00000000,dbo,BulkUpdateHistory,TABLE
C0000052267P_1_KOR00000000,dbo,CA,TABLE
C0000052267P_1_KOR00000000,dbo,CAB,TABLE
C0000052267P_1_KOR00000000,dbo,CABDetail,TABLE
C0000052267P_1_KOR00000000,dbo,CABGroup,TABLE
C0000052267P_1_KOR00000000,dbo,CABGroupDetail,TABLE
C0000052267P_1_KOR00000000,dbo,CACompanyMapping,TABLE
C0000052267P_1_KOR00000000,dbo,CFGAIPrompts,TABLE
C0000052267P_1_KOR00000000,dbo,CFGAISettings,TABLE
C0000052267P_1_KOR00000000,dbo,CFGAPApprovalStatusData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGAPApprovalStatusDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGAPDiscount,TABLE
C0000052267P_1_KOR00000000,dbo,CFGAPExpenseCodeAccounts,TABLE
C0000052267P_1_KOR00000000,dbo,CFGAPExpenseCodeData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGAPExpenseCodeDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGAPForm1099,TABLE
C0000052267P_1_KOR00000000,dbo,CFGAPLiability,TABLE
C0000052267P_1_KOR00000000,dbo,CFGAPMain,TABLE
C0000052267P_1_KOR00000000,dbo,CFGAPPaymentTermsData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGAPPaymentTermsDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGARLedgerHeadingsData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGARLedgerHeadingsDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGARMap,TABLE
C0000052267P_1_KOR00000000,dbo,CFGAbsReqStatusData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGAbsReqStatusDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGAccountGroupTableCodeData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGAccountGroupTableCodeDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGAccountStatusData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGAccountStatusDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGAccrualScheduleDetail,TABLE
C0000052267P_1_KOR00000000,dbo,CFGAccrualScheduleMasterData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGAccrualScheduleMasterDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGAcctngCalendarData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGAcctngCalendarDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGActivitySubjectData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGActivityTypeData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGActivityTypeDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGApprovalRoleData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGApprovalRoleDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGApprovalStatusData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGApprovalStatusDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGApprovalType,TABLE
C0000052267P_1_KOR00000000,dbo,CFGApproveTrans,TABLE
C0000052267P_1_KOR00000000,dbo,CFGAssetMain,TABLE
C0000052267P_1_KOR00000000,dbo,CFGAuditTableConfig,TABLE
C0000052267P_1_KOR00000000,dbo,CFGAuditTableLookup,TABLE
C0000052267P_1_KOR00000000,dbo,CFGAutoNumCustomMethod,TABLE
C0000052267P_1_KOR00000000,dbo,CFGAutoNumCustomMethodArgs,TABLE
C0000052267P_1_KOR00000000,dbo,CFGAutoNumExpression,TABLE
C0000052267P_1_KOR00000000,dbo,CFGAutoNumMappedValues,TABLE
C0000052267P_1_KOR00000000,dbo,CFGAutoNumSeqs,TABLE
C0000052267P_1_KOR00000000,dbo,CFGAutoNumSproc,TABLE
C0000052267P_1_KOR00000000,dbo,CFGAutoNumSprocArgs,TABLE
C0000052267P_1_KOR00000000,dbo,CFGAutoNumWebService,TABLE
C0000052267P_1_KOR00000000,dbo,CFGAutoNumWebServiceArgs,TABLE
C0000052267P_1_KOR00000000,dbo,CFGAutoPosting,TABLE
C0000052267P_1_KOR00000000,dbo,CFGAwardTypeData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGAwardTypeDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGBankAccountIDTypeData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGBankAccountIDTypeDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGBankEntriesCodeData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGBankEntriesCodeDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGBankIDTypeData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGBankIDTypeDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGBankImport,TABLE
C0000052267P_1_KOR00000000,dbo,CFGBankImportDetailData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGBankImportDetailDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGBankPaymentMatchingRule,TABLE
C0000052267P_1_KOR00000000,dbo,CFGBankReceiptMatchingRule,TABLE
C0000052267P_1_KOR00000000,dbo,CFGBankTextFormat,TABLE
C0000052267P_1_KOR00000000,dbo,CFGBankTypeMapping,TABLE
C0000052267P_1_KOR00000000,dbo,CFGBanks,TABLE
C0000052267P_1_KOR00000000,dbo,CFGBanksFeedNotification,TABLE
C0000052267P_1_KOR00000000,dbo,CFGBillApprovalActionAlerts,TABLE
C0000052267P_1_KOR00000000,dbo,CFGBillApprovalActions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGBillApprovalData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGBillApprovalDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGBillMainData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGBillMainDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGBillTaxesData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGBillTaxesDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGBillTaxesICBillingExclusionAccounts,TABLE
C0000052267P_1_KOR00000000,dbo,CFGBillTaxesVATGridNumber,TABLE
C0000052267P_1_KOR00000000,dbo,CFGBillingRateTableCodeData,TABLE
